variant,positional,seed,cohort,digit_length,ood,n_layers,n_loops_trained,pass_count,d_model,steps,params,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
carry_only,rope,0,id_2d,2,False,2,4,16,256,8000,1586188,45,1.0,1.0,0.022222,0.20468,1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,id_2d,2,False,2,4,32,256,8000,1586188,45,0.97778,0.99415,0.022222,0.20468,1.000|1.000|1.000|0.972,1.0
carry_only,rope,0,id_3d,3,False,2,4,2,256,8000,1586188,450,0.14889,0.73906,0.002222,0.17073,1.000|1.000|0.993|0.727|0.364|0.213,1.76
carry_only,rope,0,id_3d,3,False,2,4,4,256,8000,1586188,450,1.0,1.0,0.002222,0.17073,1.000|1.000|1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,id_3d,3,False,2,4,8,256,8000,1586188,450,1.0,1.0,0.002222,0.17073,1.000|1.000|1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,id_3d,3,False,2,4,16,256,8000,1586188,450,1.0,1.0,0.002222,0.17073,1.000|1.000|1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,id_3d,3,False,2,4,32,256,8000,1586188,450,1.0,1.0,0.002222,0.17073,1.000|1.000|1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,id_4d,4,False,2,4,2,256,8000,1586188,2000,0.021,0.65296,0.0005,0.15096,1.000|1.000|0.989|0.774|0.407|0.331|0.404|0.213,2.75
carry_only,rope,0,id_4d,4,False,2,4,4,256,8000,1586188,2000,1.0,1.0,0.0005,0.15096,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,id_4d,4,False,2,4,8,256,8000,1586188,2000,1.0,1.0,0.0005,0.15096,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,id_4d,4,False,2,4,16,256,8000,1586188,2000,1.0,1.0,0.0005,0.15096,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,id_4d,4,False,2,4,32,256,8000,1586188,2000,1.0,1.0,0.0005,0.15096,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,id_5d,5,False,2,4,2,256,8000,1586188,2000,0.0,0.55447,0.0005,0.14501,1.000|1.000|0.992|0.800|0.423|0.364|0.254|0.149|0.150|0.367,4.348
carry_only,rope,0,id_5d,5,False,2,4,4,256,8000,1586188,2000,0.9955,0.99954,0.0005,0.14501,1.000|1.000|1.000|1.000|1.000|1.000|0.997|0.999|1.000|1.000,1.0
carry_only,rope,0,id_5d,5,False,2,4,8,256,8000,1586188,2000,0.9965,0.99959,0.0005,0.14501,1.000|1.000|1.000|1.000|1.000|1.000|0.998|0.999|1.000|1.000,1.143
carry_only,rope,0,id_5d,5,False,2,4,16,256,8000,1586188,2000,0.9945,0.99939,0.0005,0.14501,1.000|1.000|1.000|1.000|1.000|0.999|0.997|0.999|1.000|1.000,1.091
carry_only,rope,0,id_5d,5,False,2,4,32,256,8000,1586188,2000,0.994,0.99933,0.0005,0.14501,1.000|1.000|1.000|1.000|1.000|0.999|0.996|0.999|1.000|1.000,1.083
carry_only,rope,0,ood_6d,6,True,2,4,2,256,8000,1586188,2000,0.0,0.28945,0.001,0.13803,0.975|0.702|0.624|0.208|0.177|0.133|0.118|0.091|0.111|0.113|0.092|0.082,8.36
carry_only,rope,0,ood_6d,6,True,2,4,4,256,8000,1586188,2000,0.0,0.44771,0.001,0.13803,0.930|0.575|0.651|0.336|0.484|0.214|0.266|0.593|0.868|0.174|0.103|0.096,6.498
carry_only,rope,0,ood_6d,6,True,2,4,8,256,8000,1586188,2000,0.0,0.42365,0.001,0.13803,0.910|0.530|0.626|0.320|0.454|0.200|0.238|0.562|0.855|0.145|0.086|0.078,6.781
carry_only,rope,0,ood_6d,6,True,2,4,16,256,8000,1586188,2000,0.0,0.40882,0.001,0.13803,0.892|0.500|0.603|0.312|0.427|0.193|0.223|0.548|0.844|0.131|0.080|0.074,6.955
carry_only,rope,0,ood_6d,6,True,2,4,32,256,8000,1586188,2000,0.0,0.40088,0.001,0.13803,0.884|0.494|0.589|0.291|0.409|0.189|0.216|0.539|0.838|0.129|0.082|0.074,7.049
carry_only,rope,0,ood_7d,7,True,2,4,2,256,8000,1586188,2000,0.0,0.22334,0.0005,0.13716,0.805|0.500|0.496|0.154|0.139|0.140|0.122|0.103|0.122|0.108|0.100|0.105|0.096|0.107,10.674
carry_only,rope,0,ood_7d,7,True,2,4,4,256,8000,1586188,2000,0.0,0.3772,0.0005,0.13716,0.736|0.486|0.599|0.322|0.441|0.218|0.354|0.617|0.835|0.185|0.091|0.107|0.108|0.112,8.559
carry_only,rope,0,ood_7d,7,True,2,4,8,256,8000,1586188,2000,0.0,0.33827,0.0005,0.13716,0.679|0.459|0.582|0.278|0.391|0.198|0.289|0.518|0.776|0.139|0.075|0.097|0.089|0.107,9.095
carry_only,rope,0,ood_7d,7,True,2,4,16,256,8000,1586188,2000,0.0,0.31921,0.0005,0.13716,0.654|0.436|0.553|0.263|0.370|0.186|0.272|0.471|0.727|0.118|0.079|0.098|0.091|0.091,9.357
carry_only,rope,0,ood_7d,7,True,2,4,32,256,8000,1586188,2000,0.0,0.30891,0.0005,0.13716,0.637|0.419|0.535|0.257|0.355|0.186|0.259|0.453|0.701|0.115|0.080|0.093|0.090|0.089,9.498
carry_only,rope,0,ood_8d,8,True,2,4,2,256,8000,1586188,2000,0.0,0.18927,0.0005,0.13407,0.790|0.384|0.361|0.143|0.125|0.118|0.102|0.110|0.120|0.115|0.101|0.102|0.102|0.110|0.109|0.118,12.771
carry_only,rope,0,ood_8d,8,True,2,4,4,256,8000,1586188,2000,0.0,0.26414,0.0005,0.13407,0.727|0.292|0.350|0.230|0.262|0.216|0.220|0.377|0.742|0.165|0.093|0.104|0.097|0.112|0.102|0.097,11.592
carry_only,rope,0,ood_8d,8,True,2,4,8,256,8000,1586188,2000,0.0,0.23615,0.0005,0.13407,0.639|0.260|0.318|0.192|0.221|0.195|0.200|0.333|0.713|0.147|0.074|0.098|0.086|0.086|0.092|0.089,12.033
carry_only,rope,0,ood_8d,8,True,2,4,16,256,8000,1586188,2000,0.0,0.22221,0.0005,0.13407,0.581|0.229|0.298|0.184|0.208|0.181|0.190|0.309|0.683|0.131|0.074|0.097|0.090|0.084|0.092|0.092,12.252
carry_only,rope,0,ood_8d,8,True,2,4,32,256,8000,1586188,2000,0.0,0.21313,0.0005,0.13407,0.547|0.225|0.279|0.176|0.197|0.175|0.186|0.287|0.657|0.130|0.074|0.099|0.086|0.082|0.090|0.090,12.396
raw_sum,rope,0,train_seen,-1,False,2,4,2,256,8000,1586701,2000,0.001,0.69807,0.0005,0.41127,0.974|0.942|0.991|0.729|0.527|0.989|0.467|0.335|0.984|0.515|0.231|0.973|0.305|0.161|0.952|0.535|0.248|0.969|0.563|0.387|0.955|0.915|0.643|0.999|0.895|0.882|1.000,7.761
raw_sum,rope,0,train_seen,-1,False,2,4,4,256,8000,1586701,2000,1.0,1.0,0.0005,0.41127,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
raw_sum,rope,0,train_seen,-1,False,2,4,8,256,8000,1586701,2000,0.3425,0.95467,0.0005,0.41127,0.999|1.000|1.000|1.000|0.976|1.000|0.935|0.910|1.000|0.980|0.837|0.991|0.777|0.769|0.992|0.973|0.854|0.994|0.962|0.912|1.000|1.000|0.966|1.000|0.999|0.995|1.000,1.77
raw_sum,rope,0,train_seen,-1,False,2,4,16,256,8000,1586701,2000,0.047,0.85925,0.0005,0.41127,0.902|0.982|1.000|0.997|0.830|1.000|0.743|0.692|0.999|0.935|0.560|0.984|0.571|0.506|0.983|0.928|0.598|0.991|0.769|0.711|0.999|0.999|0.793|1.000|0.903|0.912|1.000,3.793
raw_sum,rope,0,train_seen,-1,False,2,4,32,256,8000,1586701,2000,0.0055,0.79371,0.0005,0.41127,0.749|0.915|1.000|0.976|0.750|0.998|0.593|0.591|0.999|0.849|0.456|0.980|0.438|0.420|0.979|0.832|0.508|0.986|0.616|0.623|0.999|0.978|0.712|1.000|0.700|0.881|1.000,5.327
